species_a	species_b	fm_type	fm_C	fm_benefit_a	fm_benefit_b	fm_xfeed	smetana_MIP	smetana_MRO	sec
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000165	mutualism	0.0590	0.065468	0.065478	6	12	0.7301587301587301	1.5
L_crispatus_ST1_GCF_000091765.1	MGYG000000315	mutualism	0.0312	0.165886	0.165878	6	7	0.8253968253968254	1.2
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000003169	mutualism	0.0225	1.020893	1.020867	7	6	0.8169014084507042	1.1
L_reuteri_DSM20016_GCF_000016825.1	MGYG000000640	mutualism	0.0613	0.101148	0.101157	5	5	0.7878787878787878	1.7
L_crispatus_ST1_GCF_000091765.1	MGYG000004221	mutualism	0.0430	0.386715	0.386713	4	5	0.8115942028985508	1.0
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000003529	mutualism	0.0144	0.954261	0.954223	8	5	0.8611111111111112	1.1
L_casei_ATCC393_GCF_000829055.1	MGYG000000360	competition	0.0607	-0.236646	-0.236646	6	10	0.6415094339622641	1.4
L_reuteri_DSM20016_GCF_000016825.1	MGYG000001332	mutualism	0.0210	0.092221	0.092226	5	10	0.6428571428571429	1.3
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000002704	mutualism	0.0358	0.084115	0.084138	8	10	0.7941176470588235	1.9
L_plantarum_WCFS1_GCF_000203855.3	MGYG000000116	competition	0.0581	-0.334775	-0.334772	8	9	0.68	2.1
L_crispatus_M247_GCF_026740115.1	MGYG000001710	mutualism	0.0530	0.003440	0.003449	7	13	0.6451612903225806	1.5
L_crispatus_ST1_GCF_000091765.1	MGYG000000944	mutualism	0.0230	0.646359	0.646323	4	7	0.7419354838709677	1.2
L_plantarum_WCFS1_GCF_000203855.3	MGYG000001855	competition	0.2029	-0.111020	-0.111021	4	8	0.6909090909090909	2.1
L_reuteri_DSM20016_GCF_000016825.1	MGYG000001938	mutualism	0.0317	0.127961	0.127938	6	7	0.7575757575757576	1.1
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000001542	competition	0.0363	-0.124018	-0.123987	6	19	0.5769230769230769	2.0
L_casei_ATCC393_GCF_000829055.1	MGYG000000672	competition	0.0259	-0.195164	-0.195171	7	7	0.78125	1.3
L_rhamnosus_GG_GCF_000026505.1	MGYG000002241	mutualism	0.0217	0.048715	0.048692	3	10	0.6388888888888888	1.4
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000002449	competition	0.0179	-0.074370	-0.074348	6	12	0.6206896551724138	1.6
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000002485	competition	0.0564	-0.182203	-0.182194	6	8	0.7941176470588235	1.6
L_casei_ATCC393_GCF_000829055.1	MGYG000000131	mutualism	0.0443	0.047319	0.047314	8	9	0.7719298245614035	1.6
