species_a	species_b	fm_type	fm_C	fm_benefit_a	fm_benefit_b	fm_xfeed	smetana_MIP	smetana_MRO	sec
akk_GCF_023516715.1	MGYG000001673	mutualism	0.0354	0.047439	0.047427	6	6	0.68	1.4
akk_GCF_018847015.1	MGYG000002606	competition	0.0598	-0.258117	-0.258109	1	12	0.631578947368421	1.2
akk_GCF_026072915.1	MGYG000001288	competition	0.1168	-0.234565	-0.234570	2	4	0.7391304347826086	1.4
akk_GCF_023516715.1	MGYG000001703	competition	0.0261	-0.237511	-0.237503	6	5	0.717948717948718	2.1
akk_GCF_018847135.1	MGYG000001209	mutualism	0.0094	0.022207	0.022203	7	10	0.6	1.1
akk_GCF_018847135.1	MGYG000003752	mutualism	0.0374	0.061207	0.061199	3	9	0.6296296296296297	2.2
akk_GCF_023516715.1	MGYG000000105	competition	0.0897	-0.321776	-0.321769	4	5	0.7441860465116279	1.6
akk_GCF_026072915.1	MGYG000002139	mutualism	0.0181	0.023740	0.023706	4	12	0.6176470588235294	0.8
akk_GCF_000020225.1	MGYG000003605	mutualism	0.0064	0.095474	0.095342	7	11	0.5901639344262295	1.2
akk_GCF_018847135.1	MGYG000002444	competition	0.1679	-0.275202	-0.275198	1	4	0.782608695652174	1.4
akk_GCF_026072915.1	MGYG000000772	competition	0.0407	-0.235170	-0.235168	5	6	0.6415094339622641	1.3
akk_GCF_026072915.1	MGYG000002880	mutualism	0.0488	0.026750	0.026752	7	3	0.7916666666666666	2.1
akk_GCF_018847135.1	MGYG000003381	competition	0.0506	-0.272375	-0.272368	6	6	0.6938775510204082	1.6
akk_GCF_018847155.1	MGYG000002792	competition	0.0325	-0.074469	-0.074586	5	11	0.5964912280701754	1.2
akk_GCF_023516715.1	MGYG000004865	mutualism	0.0296	0.028032	0.028032	4	9	0.6071428571428571	1.2
akk_GCF_023516715.1	MGYG000000602	competition	0.0395	-0.189395	-0.189412	6	5	0.7391304347826086	1.3
akk_GCF_018847135.1	MGYG000001358	competition	0.0910	-0.185005	-0.185024	5	5	0.64	1.3
akk_GCF_026072915.1	MGYG000004573	mutualism	0.0075	0.064791	0.064796	8	11	0.5901639344262295	2.6
akk_GCF_018847015.1	MGYG000001287	mutualism	0.0195	0.110934	0.110921	7	12	0.5666666666666667	0.6
akk_GCF_018847135.1	MGYG000001098	competition	0.1482	-0.196929	-0.196933	1	9	0.6274509803921569	1.2
akk_GCF_023516715.1	MGYG000001774	mutualism	0.0257	0.070671	0.070674	7	9	0.6101694915254238	0.6
akk_GCF_018847015.1	MGYG000000394	mutualism	0.0180	0.021301	0.021311	5	12	0.6153846153846154	1.1
akk_GCF_026072915.1	MGYG000001243	competition	0.0260	-0.032597	-0.032605	3	7	0.5964912280701754	1.3
akk_GCF_018847135.1	MGYG000001402	competition	0.0598	-0.116466	-0.116458	5	5	0.7111111111111111	1.5
akk_GCF_023516715.1	MGYG000001457	competition	0.0575	-0.164890	-0.164888	6	6	0.7368421052631579	3.3
akk_GCF_023516715.1	MGYG000000265	competition	0.0159	-0.140756	-0.140750	6	4	0.8095238095238095	1.7
akk_GCF_000020225.1	MGYG000002038	mutualism	0.0291	0.090079	0.090075	5	14	0.5666666666666667	0.5
akk_GCF_026072915.1	MGYG000000022	competition	0.0563	-0.224703	-0.224699	7	5	0.7346938775510204	1.4
akk_GCF_018847155.1	MGYG000001537	competition	0.1985	-0.385536	-0.385533	1	4	0.7619047619047619	1.9
akk_GCF_018847135.1	MGYG000000440	mutualism	0.0144	0.176897	0.176892	5	10	0.6101694915254238	1.0
akk_GCF_026072915.1	MGYG000002072	mutualism	0.0261	0.018204	0.018204	8	10	0.6153846153846154	2.0
