sys_label	metabolite	cpd	n_pairs	n_mut	frac
Lactobacillus × UHGG (gut)	Citrate	cpd00137	32	45762	0.0006992701367947205
Lactobacillus × UHGG (gut)	Maltodextrin	cpd11976	32	45762	0.0006992701367947205
Lactobacillus × UHGG (gut)	LACT	cpd00208	29	45762	0.0006337135614702154
Lactobacillus × UHGG (gut)	L-Threonine	cpd00161	16	45762	0.00034963506839736025
Lactobacillus × UHGG (gut)	D-Arabinose	cpd00185	15	45762	0.00032778287662252526
Lactobacillus × UHGG (gut)	Glycerol	cpd00100	11	45762	0.00024037410952318518
Lactobacillus × UHGG (gut)	octanoate	cpd03846	9	45762	0.00019666972597351515
Lactobacillus × UHGG (gut)	L-Rhamnose	cpd00396	9	45762	0.00019666972597351515
Lactobacillus × UHGG (gut)	Sucrose	cpd00076	5	45762	0.00010926095887417508
Lactobacillus × UHGG (gut)	L-Asparagine	cpd00132	1	45762	2.1852191774835016e-05
