model_id	fastmic_growth	cobra_growth	abs_diff	rel_diff_pct
MGYG000000529__gradient_L9_mos_gapseq	0.78637200	0.78637200	0.00e+00	0.0000
MGYG000000537__gradient_L0_base_gapseq	0.26540300	0.26540300	0.00e+00	0.0000
MGYG000000537__gradient_L1_inulin_gapseq	0.26540300	0.26540300	0.00e+00	0.0000
MGYG000000537__gradient_L2_fos_gapseq	0.26540300	0.26540300	0.00e+00	0.0000
MGYG000000537__gradient_L3_gos_gapseq	0.38122000	0.38122000	0.00e+00	0.0000
MGYG000000537__gradient_L4_xos_gapseq	0.38122000	0.38122000	0.00e+00	0.0000
MGYG000000537__gradient_L5_pectin_gapseq	0.39569700	0.39569700	0.00e+00	0.0000
MGYG000000537__gradient_L6_resistant_starch_gapseq	0.67800000	0.67800000	0.00e+00	0.0000
MGYG000000537__gradient_L7_bglucan_gapseq	0.78657800	0.78657800	0.00e+00	0.0000
MGYG000000537__gradient_L8_hmo_gapseq	0.78657800	0.78657800	0.00e+00	0.0000
MGYG000000537__gradient_L9_mos_gapseq	0.82518300	0.82518300	0.00e+00	0.0000
MGYG000000538__gradient_L0_base_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000538__gradient_L1_inulin_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000538__gradient_L2_fos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000538__gradient_L3_gos_gapseq	0.59567200	0.59567200	0.00e+00	0.0000
MGYG000000538__gradient_L4_xos_gapseq	0.71119900	0.71119900	0.00e+00	0.0000
MGYG000000538__gradient_L5_pectin_gapseq	0.71119900	0.71119900	0.00e+00	0.0000
MGYG000000538__gradient_L6_resistant_starch_gapseq	1.36626000	1.36626000	0.00e+00	0.0000
MGYG000000538__gradient_L7_bglucan_gapseq	1.59085200	1.59085200	0.00e+00	0.0000
MGYG000000538__gradient_L8_hmo_gapseq	1.59085200	1.59085200	0.00e+00	0.0000
MGYG000000538__gradient_L9_mos_gapseq	1.74058100	1.74058100	0.00e+00	0.0000
MGYG000000543__gradient_L0_base_gapseq	0.41316600	0.41316600	0.00e+00	0.0000
MGYG000000543__gradient_L1_inulin_gapseq	0.54907900	0.54907900	0.00e+00	0.0000
MGYG000000543__gradient_L2_fos_gapseq	0.54907900	0.54907900	0.00e+00	0.0000
MGYG000000543__gradient_L3_gos_gapseq	0.80989600	0.80989600	0.00e+00	0.0000
MGYG000000543__gradient_L4_xos_gapseq	0.83897600	0.83897600	0.00e+00	0.0000
MGYG000000543__gradient_L5_pectin_gapseq	0.83897600	0.83897600	0.00e+00	0.0000
MGYG000000543__gradient_L6_resistant_starch_gapseq	1.38688200	1.38688200	0.00e+00	0.0000
MGYG000000543__gradient_L7_bglucan_gapseq	1.38688200	1.38688200	0.00e+00	0.0000
MGYG000000543__gradient_L8_hmo_gapseq	1.38688200	1.38688200	0.00e+00	0.0000
MGYG000000543__gradient_L9_mos_gapseq	1.47693900	1.47693900	0.00e+00	0.0000
MGYG000000544__gradient_L0_base_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000544__gradient_L1_inulin_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000544__gradient_L2_fos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000544__gradient_L3_gos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000544__gradient_L4_xos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000544__gradient_L5_pectin_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000544__gradient_L6_resistant_starch_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000544__gradient_L7_bglucan_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000544__gradient_L8_hmo_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000544__gradient_L9_mos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000549__gradient_L0_base_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000549__gradient_L1_inulin_gapseq	0.14945800	0.14945800	0.00e+00	0.0000
MGYG000000549__gradient_L2_fos_gapseq	0.14945800	0.14945800	0.00e+00	0.0000
MGYG000000549__gradient_L3_gos_gapseq	0.14945800	0.14945800	0.00e+00	0.0000
MGYG000000549__gradient_L4_xos_gapseq	0.14945800	0.14945800	0.00e+00	0.0000
MGYG000000549__gradient_L5_pectin_gapseq	0.14945800	0.14945800	0.00e+00	0.0000
MGYG000000549__gradient_L6_resistant_starch_gapseq	0.21691900	0.21691900	0.00e+00	0.0000
MGYG000000549__gradient_L7_bglucan_gapseq	0.21691900	0.21691900	0.00e+00	0.0000
MGYG000000549__gradient_L8_hmo_gapseq	0.21691900	0.21691900	0.00e+00	0.0000
MGYG000000549__gradient_L9_mos_gapseq	0.28265500	0.28265500	0.00e+00	0.0000
MGYG000000553__gradient_L0_base_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000553__gradient_L1_inulin_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000553__gradient_L2_fos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000553__gradient_L3_gos_gapseq	0.75657600	0.75657600	0.00e+00	0.0000
MGYG000000553__gradient_L4_xos_gapseq	0.77045800	0.77045800	0.00e+00	0.0000
MGYG000000553__gradient_L5_pectin_gapseq	0.77045800	0.77045800	0.00e+00	0.0000
MGYG000000553__gradient_L6_resistant_starch_gapseq	1.22449200	1.22449200	0.00e+00	0.0000
MGYG000000553__gradient_L7_bglucan_gapseq	1.36769600	1.36769600	0.00e+00	0.0000
MGYG000000553__gradient_L8_hmo_gapseq	1.36769600	1.36769600	0.00e+00	0.0000
MGYG000000553__gradient_L9_mos_gapseq	1.45901500	1.45901500	0.00e+00	0.0000
MGYG000000562__gradient_L0_base_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000562__gradient_L1_inulin_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000562__gradient_L2_fos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000562__gradient_L3_gos_gapseq	0.58385400	0.58385400	0.00e+00	0.0000
MGYG000000562__gradient_L4_xos_gapseq	0.64742000	0.64742000	0.00e+00	0.0000
MGYG000000562__gradient_L5_pectin_gapseq	0.64742000	0.64742000	0.00e+00	0.0000
MGYG000000562__gradient_L6_resistant_starch_gapseq	1.08746300	1.08746300	0.00e+00	0.0000
MGYG000000562__gradient_L7_bglucan_gapseq	1.24378700	1.24378700	0.00e+00	0.0000
MGYG000000562__gradient_L8_hmo_gapseq	1.24378700	1.24378700	0.00e+00	0.0000
MGYG000000562__gradient_L9_mos_gapseq	1.31628600	1.31628600	0.00e+00	0.0000
MGYG000000568__gradient_L0_base_gapseq	0.31371900	0.31371900	0.00e+00	0.0000
MGYG000000568__gradient_L1_inulin_gapseq	0.31371900	0.31371900	0.00e+00	0.0000
