model_id	n_metabolites	n_reactions	n_genes	biomass_rxn	growth_rate	load_time_s	fba_time_s
MGYG000000062__gradient_L4_xos_gapseq	1370	1580	463	R_EX_cpd11416_c0	1.190639	0.015056	0.022482
MGYG000000062__gradient_L5_pectin_gapseq	1370	1580	463	R_EX_cpd11416_c0	1.190639	0.015056	0.022607
MGYG000000062__gradient_L6_resistant_starch_gapseq	1370	1580	463	R_EX_cpd11416_c0	1.358830	0.015056	0.022193
MGYG000000062__gradient_L7_bglucan_gapseq	1370	1580	463	R_EX_cpd11416_c0	1.604809	0.015056	0.022214
MGYG000000062__gradient_L8_hmo_gapseq	1370	1580	463	R_EX_cpd11416_c0	1.604809	0.015056	0.022207
MGYG000000062__gradient_L9_mos_gapseq	1370	1580	463	R_EX_cpd11416_c0	1.772999	0.015056	0.022439
MGYG000000064__gradient_L0_base_gapseq	1657	1970	533	R_EX_cpd11416_c0	0.921246	0.019055	0.033446
MGYG000000064__gradient_L1_inulin_gapseq	1657	1970	533	R_EX_cpd11416_c0	1.164972	0.019055	0.032386
MGYG000000064__gradient_L2_fos_gapseq	1657	1970	533	R_EX_cpd11416_c0	1.164972	0.019055	0.032336
MGYG000000064__gradient_L3_gos_gapseq	1657	1970	533	R_EX_cpd11416_c0	1.430842	0.019055	0.033097
MGYG000000064__gradient_L4_xos_gapseq	1657	1970	533	R_EX_cpd11416_c0	1.430842	0.019055	0.033060
MGYG000000064__gradient_L5_pectin_gapseq	1657	1970	533	R_EX_cpd11416_c0	1.430842	0.019055	0.033159
MGYG000000064__gradient_L6_resistant_starch_gapseq	1657	1970	533	R_EX_cpd11416_c0	1.946461	0.019055	0.033413
MGYG000000064__gradient_L7_bglucan_gapseq	1657	1970	533	R_EX_cpd11416_c0	2.117151	0.019055	0.032303
MGYG000000064__gradient_L8_hmo_gapseq	1657	1970	533	R_EX_cpd11416_c0	2.117151	0.019055	0.032326
MGYG000000064__gradient_L9_mos_gapseq	1657	1970	533	R_EX_cpd11416_c0	2.236934	0.019055	0.033844
MGYG000000067__gradient_L0_base_gapseq	1371	1552	423	R_EX_cpd11416_c0	-0.000000	0.015721	0.008314
MGYG000000067__gradient_L1_inulin_gapseq	1371	1552	423	R_EX_cpd11416_c0	-0.000000	0.015721	0.008159
MGYG000000067__gradient_L2_fos_gapseq	1371	1552	423	R_EX_cpd11416_c0	-0.000000	0.015721	0.008291
MGYG000000067__gradient_L3_gos_gapseq	1371	1552	423	R_EX_cpd11416_c0	-0.000000	0.015721	0.008654
MGYG000000067__gradient_L4_xos_gapseq	1371	1552	423	R_EX_cpd11416_c0	1.373010	0.015721	0.020762
MGYG000000067__gradient_L5_pectin_gapseq	1371	1552	423	R_EX_cpd11416_c0	1.373010	0.015721	0.020679
MGYG000000067__gradient_L6_resistant_starch_gapseq	1371	1552	423	R_EX_cpd11416_c0	1.985185	0.015721	0.021297
MGYG000000067__gradient_L7_bglucan_gapseq	1371	1552	423	R_EX_cpd11416_c0	1.985185	0.015721	0.021334
MGYG000000067__gradient_L8_hmo_gapseq	1371	1552	423	R_EX_cpd11416_c0	1.985185	0.015721	0.021282
MGYG000000067__gradient_L9_mos_gapseq	1371	1552	423	R_EX_cpd11416_c0	1.985185	0.015721	0.021297
MGYG000000068__gradient_L0_base_gapseq	1346	1519	425	R_EX_cpd11416_c0	-0.000000	0.015370	0.008968
MGYG000000068__gradient_L1_inulin_gapseq	1346	1519	425	R_EX_cpd11416_c0	-0.000000	0.015370	0.008895
MGYG000000068__gradient_L2_fos_gapseq	1346	1519	425	R_EX_cpd11416_c0	-0.000000	0.015370	0.008885
MGYG000000068__gradient_L3_gos_gapseq	1346	1519	425	R_EX_cpd11416_c0	-0.000000	0.015370	0.009459
MGYG000000068__gradient_L4_xos_gapseq	1346	1519	425	R_EX_cpd11416_c0	-0.000000	0.015370	0.009331
MGYG000000068__gradient_L5_pectin_gapseq	1346	1519	425	R_EX_cpd11416_c0	-0.000000	0.015370	0.009407
