model_id	n_metabolites	n_reactions	n_genes	biomass_rxn	growth_rate	load_time_s	pfba_time_s
MGYG000000067__gradient_L9_mos_gapseq	1371	1552	423	bio1	1.985185	1.365460	5.680628
MGYG000000068__gradient_L0_base_gapseq	1346	1519	425	bio1	0.000000	1.244780	0.076551
MGYG000000068__gradient_L1_inulin_gapseq	1346	1519	425	bio1	0.000000	1.330791	0.077644
MGYG000000068__gradient_L2_fos_gapseq	1346	1519	425	bio1	0.000000	1.271613	0.078649
MGYG000000068__gradient_L3_gos_gapseq	1346	1519	425	bio1	0.000000	1.359624	0.077641
MGYG000000068__gradient_L4_xos_gapseq	1346	1519	425	bio1	0.000000	1.262479	0.078533
MGYG000000068__gradient_L5_pectin_gapseq	1346	1519	425	bio1	0.000000	1.384584	0.078953
MGYG000000068__gradient_L6_resistant_starch_gapseq	1346	1519	425	bio1	0.000000	1.263654	0.074037
MGYG000000068__gradient_L7_bglucan_gapseq	1346	1519	425	bio1	0.000000	1.377206	0.077161
MGYG000000068__gradient_L8_hmo_gapseq	1346	1519	425	bio1	0.000000	1.252099	0.076376
MGYG000000068__gradient_L9_mos_gapseq	1346	1519	425	bio1	0.000000	1.379840	0.076623
MGYG000000074__gradient_L0_base_gapseq	1281	1469	361	bio1	0.373709	1.311295	5.311102
MGYG000000074__gradient_L1_inulin_gapseq	1281	1469	361	bio1	0.520178	1.200944	5.431018
MGYG000000074__gradient_L2_fos_gapseq	1281	1469	361	bio1	0.520178	1.199793	5.295513
MGYG000000074__gradient_L3_gos_gapseq	1281	1469	361	bio1	0.625485	1.312612	5.303447
MGYG000000074__gradient_L4_xos_gapseq	1281	1469	361	bio1	0.638172	1.307188	5.434268
MGYG000000074__gradient_L5_pectin_gapseq	1281	1469	361	bio1	0.676282	1.166742	5.430094
MGYG000000074__gradient_L6_resistant_starch_gapseq	1281	1469	361	bio1	0.999141	1.226864	5.321528
MGYG000000074__gradient_L7_bglucan_gapseq	1281	1469	361	bio1	0.999141	1.292189	5.306492
MGYG000000074__gradient_L8_hmo_gapseq	1281	1469	361	bio1	0.999141	1.220662	5.387340
MGYG000000074__gradient_L9_mos_gapseq	1281	1469	361	bio1	1.121305	1.174699	5.266676
MGYG000000079__gradient_L0_base_gapseq	1696	2045	531	bio1	1.007669	1.687941	9.696470
MGYG000000079__gradient_L1_inulin_gapseq	1696	2045	531	bio1	1.283521	1.732940	9.653968
MGYG000000079__gradient_L2_fos_gapseq	1696	2045	531	bio1	1.283521	1.684326	9.760403
MGYG000000079__gradient_L3_gos_gapseq	1696	2045	531	bio1	1.573476	1.813858	9.587663
MGYG000000079__gradient_L4_xos_gapseq	1696	2045	531	bio1	1.655180	1.820255	9.594622
MGYG000000079__gradient_L5_pectin_gapseq	1696	2045	531	bio1	1.655180	1.836135	9.546300
MGYG000000079__gradient_L6_resistant_starch_gapseq	1696	2045	531	bio1	2.284742	1.825970	9.610215
MGYG000000079__gradient_L7_bglucan_gapseq	1696	2045	531	bio1	2.284742	1.835797	9.770342
MGYG000000079__gradient_L8_hmo_gapseq	1696	2045	531	bio1	2.284742	1.864679	9.571959
MGYG000000079__gradient_L9_mos_gapseq	1696	2045	531	bio1	2.284742	1.835761	9.513979
MGYG000000086__gradient_L0_base_gapseq	1396	1484	377	bio1	0.000000	1.221246	0.067779
MGYG000000086__gradient_L1_inulin_gapseq	1396	1484	377	bio1	0.000000	1.391957	0.076237
MGYG000000086__gradient_L2_fos_gapseq	1396	1484	377	bio1	0.000000	1.257815	0.075873
MGYG000000086__gradient_L3_gos_gapseq	1396	1484	377	bio1	0.810570	1.405476	5.458559
MGYG000000086__gradient_L4_xos_gapseq	1396	1484	377	bio1	0.868376	1.448206	5.478085
MGYG000000086__gradient_L5_pectin_gapseq	1396	1484	377	bio1	0.868376	1.266916	5.523486
MGYG000000086__gradient_L6_resistant_starch_gapseq	1396	1484	377	bio1	1.449735	1.275276	5.351133
MGYG000000086__gradient_L7_bglucan_gapseq	1396	1484	377	bio1	1.449735	1.345670	5.351904
MGYG000000086__gradient_L8_hmo_gapseq	1396	1484	377	bio1	1.449735	1.331504	5.356806
MGYG000000086__gradient_L9_mos_gapseq	1396	1484	377	bio1	1.449735	1.223852	5.485556
MGYG000000090__gradient_L0_base_gapseq	1402	1501	354	bio1	0.000000	1.287388	0.200504
MGYG000000090__gradient_L1_inulin_gapseq	1402	1501	354	bio1	0.000000	1.430866	0.066679
MGYG000000090__gradient_L2_fos_gapseq	1402	1501	354	bio1	0.000000	1.305147	0.161993
MGYG000000090__gradient_L3_gos_gapseq	1402	1501	354	bio1	0.000000	1.345352	0.074886
MGYG000000090__gradient_L4_xos_gapseq	1402	1501	354	bio1	0.618093	1.280645	5.526385
