cpd	name	class	level	n_mut_pairs	n_export	prevalence
cpd00141	Propionate	organic acid	L2	965	110	11.40
cpd00221	D-Lactate	organic acid	L2	965	78	8.08
cpd00159	L-Lactate	organic acid	L2	965	59	6.11
cpd00281	GABA	other	L2	965	44	4.56
cpd00024	2-Oxoglutarate	organic acid	L2	965	40	4.15
cpd00588	Sorbitol	alcohol/diol	L2	965	39	4.04
cpd00065	L-Tryptophan	amino acid	L2	965	21	2.18
cpd00092	Uracil	other	L2	965	14	1.45
cpd00107	L-Leucine	amino acid	L2	965	14	1.45
cpd00129	L-Proline	amino acid	L2	965	14	1.45
cpd00306	Xylitol	other	L2	965	14	1.45
cpd00322	L-Isoleucine	amino acid	L2	965	14	1.45
cpd00393	Folate	other	L2	965	14	1.45
cpd01080	ocdca	other	L2	965	14	1.45
cpd00028	Heme	other	L2	965	13	1.35
cpd00218	Niacin	other	L2	965	13	1.35
